name,primary_muscle_group,secondary_muscle_group,exercise_type,description,equipment
Тяга нижнего блока сидя,BACK,BICEPS,STRENGTH,"Сидя в тренажере, тяните рукоять к поясу, отводя локти назад и сводя лопатки.",MACHINE
Становая тяга,BACK,HAMSTRINGS,STRENGTH,"Базовое упражнение для всей задней поверхности тела. Наклонитесь, возьмите штангу, выпрямитесь, поднимая штангу вдоль ног.",BARBELL
Гиперэкстензия,BACK,GLUTES,STRENGTH,"Упражнение для разгибателей спины. Лежа в тренажере лицом вниз, поднимайте корпус до прямой линии с ногами.",MACHINE
Шраги со штангой,BACK,NONE,STRENGTH,"Упражнение для трапециевидных мышц. Стоя со штангой в руках, поднимайте плечи как можно выше.",BARBELL
Тяга Т-грифа,BACK,BICEPS,STRENGTH,"Тяга специального Т-грифа в наклоне к груди или поясу.",MACHINE
Тяга верхнего блока за голову,BACK,BICEPS,STRENGTH,"Тяга широким хватом за голову для акцента на среднюю часть спины.",MACHINE
Подтягивания обратным хватом,BACK,BICEPS,STRENGTH,"Подтягивания узким обратным хватом для акцента на бицепс и низ широчайших.",PULL_UP_BAR
Тяга блока к лицу,BACK,SHOULDERS,STRENGTH,"Тяга каната к лицу для развития задних дельт и мышц верхней части спины.",CABLE
Пуловер в тренажере,BACK,CHEST,STRENGTH,"Тяга верхнего блока прямыми руками за голову для растяжки широчайших.",MACHINE
Тяга штанги к подбородку,SHOULDERS,TRAPEZIUS,STRENGTH,"Стоя со штангой, тяните ее узким хватом вдоль тела к подбородку.",BARBELL
Разведение гантелей в наклоне,SHOULDERS,BACK,STRENGTH,"Наклонив корпус, разводите гантели в стороны для развития задних дельт.",DUMBBELL
Армейский жим,SHOULDERS,TRICEPS,STRENGTH,"Жим штанги стоя или сидя над головой. Базовое упражнение для плечевого пояса.",BARBELL
Жим гантелей сидя,SHOULDERS,TRICEPS,STRENGTH,"Жим гантелей над головой сидя на скамье с вертикальной спинкой.",DUMBBELL
Махи гантелями в стороны,SHOULDERS,NONE,STRENGTH,"Подъем гантелей через стороны до уровня плеч для развития средних пучков дельт.",DUMBBELL
Махи гантелями перед собой,SHOULDERS,NONE,STRENGTH,"Подъем гантелей перед собой до уровня глаз для развития передних пучков дельт.",DUMBBELL
Разведение рук в тренажере,SHOULDERS,NONE,STRENGTH,"Махи в тренажере пек-дек (обратная бабочка) для задних дельт.",MACHINE
Жим Арнольда,SHOULDERS,TRICEPS,STRENGTH,"Жим гантелей с вращением: начинайте с ладоней к себе, при жиме разворачивайте ладони вперед.",DUMBBELL
Тяга Ли Хейни,SHOULDERS,BACK,STRENGTH,"Тяга штанги к подбородку широким хватом для акцента на трапеции и дельты.",BARBELL
Жим в тренажере для плеч,SHOULDERS,TRICEPS,STRENGTH,"Жим в специальном тренажере для плеч с фиксированной траекторией.",MACHINE
Подъемы через стороны на нижнем блоке,SHOULDERS,NONE,STRENGTH,"Махи одной рукой через сторону с использованием нижнего блока.",CABLE
Фронтальные подъемы на нижнем блоке,SHOULDERS,NONE,STRENGTH,"Подъемы перед собой с использованием нижнего блока одной рукой.",CABLE
Приседания со штангой,QUADS,GLUTES,STRENGTH,"Базовое упражнение для ног. Расположите штангу на трапециях, приседайте до параллели бедер с полом.",BARBELL
Жим ногами,QUADS,GLUTES,STRENGTH,"Сидя в тренажере, жмите платформу ногами. Меняйте постановку ног для акцента на разные части бедер.",MACHINE
Выпады с гантелями,QUADS,GLUTES,STRENGTH,"С гантелями в руках делайте широкий шаг вперед, опуская заднее колено к полу.",DUMBBELL
Разгибания ног в тренажере,QUADS,NONE,STRENGTH,"Изолирующее упражнение для квадрицепсов. Сидя в тренажере, разгибайте ноги в коленях.",MACHINE
Сгибания ног лежа,HAMSTRINGS,GLUTES,STRENGTH,"Лежа лицом вниз в тренажере, сгибайте ноги в коленях, поднимая валик к ягодицам.",MACHINE
Румынская тяга,HAMSTRINGS,GLUTES,STRENGTH,"Наклоны со штангой на прямых ногах для развития бицепса бедра и ягодиц.",BARBELL
Подъемы на носки стоя,CALVES,NONE,STRENGTH,"Стоя в тренажере, поднимайтесь на носки для развития икроножных мышц.",MACHINE
Подъемы на носки сидя,CALVES,NONE,STRENGTH,"Сидя в тренажере, поднимайтесь на носки для развития камбаловидных мышц.",MACHINE
Гакк-приседания,QUADS,GLUTES,STRENGTH,"Приседания в специальном тренажере гакк-машина с нагрузкой на плечах.",MACHINE
Болгарские выпады,QUADS,GLUTES,STRENGTH,"Выпады с задней ногой на скамье для увеличения амплитуды и нагрузки.",DUMBBELL
Приседания с гантелями,QUADS,GLUTES,STRENGTH,"Приседания с гантелями в руках для тех, у кого проблемы со спиной.",DUMBBELL
Зашагивания на скамью,QUADS,GLUTES,STRENGTH,"Поочередные зашагивания на скамью или платформу с отягощением.",DUMBBELL
Сисси-приседания,QUADS,NONE,STRENGTH,"Приседания с отклонением корпуса назад для изоляции квадрицепсов.",NONE
Приседания в тренажере Смита,QUADS,GLUTES,STRENGTH,"Приседания в тренажере Смита для фиксированной траектории движения.",MACHINE
Ягодичный мост,GLUTES,HAMSTRINGS,STRENGTH,"Лежа на спине с согнутыми ногами, поднимайте таз как можно выше.",NONE
Становая тяга сумо,GLUTES,HAMSTRINGS,STRENGTH,"Становая тяга с широкой постановкой ног для акцента на ягодицы и внутреннюю поверхность бедра.",BARBELL
Отведения ноги в кроссовере,GLUTES,NONE,STRENGTH,"Стоя у нижнего блока, отводите ногу назад для изоляции ягодичных мышц.",CABLE
Разведения ног в тренажере,GLUTES,NONE,STRENGTH,"Сидя в тренажере, разводите бедра против сопротивления.",MACHINE
Сведения ног в тренажере,ADDUCTORS,NONE,STRENGTH,"Сидя в тренажере, сводите бедра для развития приводящих мышц.",MACHINE
Подъемы на носки в тренажере для жима ногами,CALVES,NONE,STRENGTH,"В тренажере для жима ногами выполняйте подъемы на носки.",MACHINE
Подъем штанги на бицепс,BICEPS,FOREARMS,STRENGTH,"Стоя со штангой хватом снизу, сгибайте руки в локтях, поднимая штангу к плечам.",BARBELL
Подъем гантелей на бицепс,BICEPS,FOREARMS,STRENGTH,"Поочередное или одновременное сгибание рук с гантелями стоя или сидя.",DUMBBELL
Молотковые сгибания,BICEPS,FOREARMS,STRENGTH,"Сгибание рук с гантелями хватом молоток (ладони смотрят друг на друга).",DUMBBELL
Концентрированные сгибания,BICEPS,NONE,STRENGTH,"Сидя на скамье, сгибайте руку с гантелью с упором локтя во внутреннюю поверхность бедра.",DUMBBELL
Сгибания рук на скамье Скотта,BICEPS,NONE,STRENGTH,"Сгибания рук со штангой или гантелями на специальной скамье для изоляции бицепса.",BARBELL
Сгибания рук в кроссовере,BICEPS,NONE,STRENGTH,"Стоя у нижних блоков, сгибайте руки, поднимая рукояти к плечам.",CABLE
Сгибания рук обратным хватом,FOREARMS,BICEPS,STRENGTH,"Сгибания рук со штангой хватом сверху для развития плечелучевой мышцы.",BARBELL
Французский жим лежа,TRICEPS,NONE,STRENGTH,"Лежа на скамье, опускайте штангу ко лбу, разгибая руки в локтях.",BARBELL
Разгибания рук на верхнем блоке,TRICEPS,NONE,STRENGTH,"Стоя у верхнего блока, разгибайте руки вниз, держа локти неподвижно.",CABLE
Отжимания на брусьях на трицепс,TRICEPS,CHEST,STRENGTH,"Отжимания на брусьях с вертикальным корпусом для акцента на трицепс.",DIP_BAR
Жим лежа узким хватом,TRICEPS,CHEST,STRENGTH,"Жим штанги лежа хватом уже ширины плеч для акцента на трицепс.",BARBELL
Разгибания руки с гантелью,TRICEPS,NONE,STRENGTH,"Наклонившись, разгибайте руку с гантелью назад, фиксируя локоть.",DUMBBELL
Отжимания от скамьи,TRICEPS,CHEST,STRENGTH,"Сидя на краю скамьи, опускайте таз, сгибая руки в локтях.",NONE
Кик-бэки с гантелью,TRICEPS,NONE,STRENGTH,"Стоя в наклоне, разгибайте руку с гантелью назад.",DUMBBELL
Разгибания рук с канатом,TRICEPS,NONE,STRENGTH,"Разгибания рук на верхнем блоке с использованием канатной рукояти.",CABLE
Разгибания из-за головы с гантелью,TRICEPS,NONE,STRENGTH,"Сидя или стоя, разгибайте руки с гантелью из-за головы.",DUMBBELL
Скручивания на полу,ABS,NONE,STRENGTH,"Лежа на полу, согните ноги, отрывайте лопатки от пола, скручивая корпус.",NONE
Подъемы ног в висе,ABS,NONE,STRENGTH,"В висе на перекладине, поднимайте ноги до горизонтали или выше.",PULL_UP_BAR
Планка,ABS,NONE,STRENGTH,"Статическое упражнение. Упор лежа на предплечьях, удерживайте тело прямой линией.",NONE
Боковая планка,ABS,NONE,STRENGTH,"Упор на одно предплечье боком, удерживайте тело прямой линией.",NONE
Русские скручивания,ABS,NONE,STRENGTH,"Сидя на полу, отклоняйтесь назад и поворачивайте корпус из стороны в сторону.",NONE
Подъем корпуса на римском стуле,ABS,NONE,STRENGTH,"Лежа на римском стуле, поднимайте корпус, скручиваясь вперед.",MACHINE
Велосипед,ABS,NONE,STRENGTH,"Лежа на спине, поочередно подтягивайте колени к груди, имитируя езду на велосипеде.",NONE
Вакуум,ABS,NONE,STRENGTH,"Лежа на спине, максимально втягивайте живот, задерживая дыхание.",NONE
Скручивания на наклонной скамье,ABS,NONE,STRENGTH,"Лежа на наклонной скамье головой вниз, выполняйте скручивания.",MACHINE
Подъемы ног лежа,ABS,NONE,STRENGTH,"Лежа на спине, поднимайте прямые ноги до вертикали.",NONE
Дровосек,ABS,NONE,STRENGTH,"Стоя у верхнего блока, выполняйте диагональные скручивания, как будто рубите дрова.",CABLE
Бег на беговой дорожке,FULL_BODY,NONE,CARDIO,"Бег на беговой дорожке в различных режимах: равномерный, интервальный, наклон.",MACHINE
Езда на велотренажере,FULL_BODY,NONE,CARDIO,"Езда на стационарном велосипеде с регулировкой сопротивления.",MACHINE
Скакалка,FULL_BODY,NONE,CARDIO,"Прыжки через скакалку в различном темпе и с различными техниками.",JUMP_ROPE
Гребной тренажер,FULL_BODY,NONE,CARDIO,"Гребля на гребном тренажере, имитирующая движение весла.",MACHINE
Эллиптический тренажер,FULL_BODY,NONE,CARDIO,"Ходьба на эллиптическом тренажере с движением рук и ног.",MACHINE
Степпер,FULL_BODY,NONE,CARDIO,"Ходьба на степпере, имитирующая подъем по лестнице.",MACHINE
Берпи,FULL_BODY,NONE,CARDIO,"Комплексное упражнение: присед → упор лежа → отжимание → прыжок.",NONE
Плавание,FULL_BODY,NONE,CARDIO,"Плавание различными стилями: кроль, брасс, баттерфляй.",NONE
Спринты,FULL_BODY,NONE,CARDIO,"Бег на короткие дистанции с максимальной скоростью.",NONE
Ходьба в гору,FULL_BODY,NONE,CARDIO,"Ходьба на беговой дорожке с большим углом наклона.",MACHINE
Становая тяга с гантелями,BACK,HAMSTRINGS,STRENGTH,"Становая тяга с гантелями в руках для уменьшения нагрузки на позвоночник.",DUMBBELL
Тяга штанги к подбородку узким хватом,SHOULDERS,TRAPEZIUS,STRENGTH,"Тяга штанги к подбородку очень узким хватом для акцента на трапеции.",BARBELL
Разгибания спины на римском стуле,BACK,GLUTES,STRENGTH,"Гиперэкстензия на римском стуле для разгибателей спины.",MACHINE
Подтягивания нейтральным хватом,BACK,BICEPS,STRENGTH,"Подтягивания на параллельных рукоятках для комфортной работы суставов.",PULL_UP_BAR
Жим ногами с высокой постановкой ног,GLUTES,HAMSTRINGS,STRENGTH,"Жим ногами с постановкой ног высоко на платформе для акцента на ягодицы.",MACHINE
Жим ногами с низкой постановкой ног,QUADS,NONE,STRENGTH,"Жим ногами с постановкой ног низко на платформе для акцента на квадрицепсы.",MACHINE
Сгибания ног сидя,HAMSTRINGS,NONE,STRENGTH,"Сгибания ног в тренажере сидя для изоляции бицепса бедра.",MACHINE
Подъемы на носки в тренажере для жима ногами одной ногой,CALVES,NONE,STRENGTH,"Подъемы на носки в жиме ногами, выполняя каждой ногой поочередно.",MACHINE
Сгибания запястий со штангой,FOREARMS,NONE,STRENGTH,"Сидя на скамье, сгибайте запястья со штангой хватом снизу для развития предплечий.",BARBELL
Разгибания запястий со штангой,FOREARMS,NONE,STRENGTH,"Сидя на скамье, разгибайте запястья со штангой хватом сверху.",BARBELL
Скручивания на римском стуле с поворотом,ABS,NONE,STRENGTH,"Скручивания на римском стуле с диагональными поворотами корпуса.",MACHINE
Подъемы ног на параллельных брусьях,ABS,NONE,STRENGTH,"В упоре на брусьях, поднимайте ноги до горизонтали или выше.",DIP_BAR
Растяжка грудных мышц в дверном проеме,CHEST,NONE,STRETCHING,"Встаньте в дверной проем, упритесь предплечьями в косяки, сделайте шаг вперед, растягивая грудные.",NONE
Наклон вперед к ногам сидя,HAMSTRINGS,NONE,STRETCHING,"Сидя на полу с прямыми ногами, наклонитесь вперед, стараясь дотянуться до стоп.",NONE
Растяжка квадрицепсов стоя,QUADS,NONE,STRETCHING,"Стоя, согните ногу в колене, возьмитесь за стопу, подтяните пятку к ягодице.",NONE
Бабочка (растяжка паха),ADDUCTORS,NONE,STRETCHING,"Сидя на полу, соедините стопы, прижмите колени к полу, наклонитесь вперед.",NONE
Растяжка трицепса,TRICEPS,NONE,STRETCHING,"Заведите одну руку за голову, другой рукой надавите на локоть, растягивая трицепс.",NONE
Поза ребенка,BACK,NONE,STRETCHING,"Стоя на коленях, опустите ягодицы на пятки, лягте грудью на бедра, вытяните руки вперед.",NONE
Растяжка икроножных мышц,CALVES,NONE,STRETCHING,"Стоя у стены, одну ногу отведите назад, прижмите пятку к полу, наклонитесь вперед.",NONE
Растяжка широчайших мышц,BACK,NONE,STRETCHING,"Встаньте на колени перед скамьей, положите на нее прямые руки, опустите грудную клетку вниз.",NONE
Мостик для растяжки спины,BACK,NONE,STRETCHING,"Лежа на спине, согните ноги, поднимите таз, образуя мостик.",NONE
Растяжка плеч с полотенцем,SHOULDERS,NONE,STRETCHING,"Возьмите полотенце, одну руку заведите за голову, другую за спину, тяните полотенце вверх-вниз.",NONE
Подъемы таза лежа (ягодичный мостик),GLUTES,HAMSTRINGS,STRENGTH,"Лежа на спине с согнутыми ногами, поднимайте таз как можно выше, сжимая ягодицы.",NONE
Тяга верхнего блока прямыми руками,BACK,NONE,STRENGTH,"Стоя у верхнего блока, тяните рукоять прямыми руками вниз к бедрам.",CABLE
Сведение лопаток,BACK,NONE,STRENGTH,"Сидя или стоя, сведите лопатки вместе, задержите на секунду, расслабьте.",NONE
Вращение плечами с гантелями,SHOULDERS,NONE,STRENGTH,"Стоя с гантелями в руках, выполняйте круговые движения плечами вперед и назад.",DUMBBELL
Разведение гантелей лежа на животе,SHOULDERS,BACK,STRENGTH,"Лежа на животе на наклонной скамье, разводите гантели в стороны.",DUMBBELL
Подъемы ног в упоре на предплечьях,ABS,NONE,STRENGTH,"В упоре на предплечьях в тренажере для пресса, поднимайте ноги, сгибая в коленях.",MACHINE
Диагональные скручивания,ABS,NONE,STRENGTH,"Лежа на спине, поочередно тянитесь локтем к противоположному колену.",NONE
Подъемы корпуса с поворотом,ABS,NONE,STRENGTH,"Лежа на спине, поднимайте корпус с поворотом в сторону.",NONE
Жим в тренажере для груди сидя,CHEST,TRICEPS,STRENGTH,"Сидя в тренажере для жима от груди, жмите рукояти вперед.",MACHINE
Тяга горизонтального блока узким хватом,BACK,BICEPS,STRENGTH,"Тяга нижнего блока узким хватом к животу.",MACHINE
Тяга горизонтального блока широким хватом,BACK,BICEPS,STRENGTH,"Тяга нижнего блока широким хватом к груди.",MACHINE
Тяга рычажного тренажера,BACK,BICEPS,STRENGTH,"Тяга в рычажном тренажере (напр., Хаммер) одной или двумя руками.",MACHINE
Тяга блока к лицу сидя,BACK,SHOULDERS,STRENGTH,"Сидя у верхнего блока, тяните канат к лицу, разводя локти в стороны.",CABLE
Фронтальные приседания,QUADS,GLUTES,STRENGTH,"Приседания со штангой на груди (на передних дельтах).",BARBELL
Приседания с гирей,QUADS,GLUTES,STRENGTH,"Приседания с гирей перед грудью (гоблет приседания).",KETTLEBELL
Тяга гири к подбородку,SHOULDERS,TRAPEZIUS,STRENGTH,"Тяга гири к подбородку одной или двумя руками.",KETTLEBELL
Махи гирей,HAMSTRINGS,GLUTES,STRENGTH,"Махи гирей двумя руками между ног для развития взрывной силы.",KETTLEBELL
Турецкий подъем,FULL_BODY,NONE,STRENGTH,"Комплексное упражнение с гирей: из положения лежа встаньте с гирей над головой.",KETTLEBELL
Прогулка фермера,FULL_BODY,NONE,STRENGTH,"Ходьба с тяжелыми гантелями или гирями в руках.",DUMBBELL
Перенос гири над головой,FULL_BODY,NONE,STRENGTH,"Удерживая гирю над головой одной рукой, выполняйте приседания или выпады.",KETTLEBELL
Берпи с отжиманием,FULL_BODY,NONE,CARDIO,"Берпи с полным отжиманием в упоре лежа.",NONE
Прыжки на коробку,FULL_BODY,NONE,PLYOMETRIC,"Прыжки на тумбу или коробку различной высоты.",BOX
Плиометрические отжимания,CHEST,TRICEPS,PLYOMETRIC,"Отжимания с отрывом ладоней от пола в верхней точке.",NONE
Прыжки в длину с места,FULL_BODY,NONE,PLYOMETRIC,"Прыжки вперед на максимальное расстояние из положения стоя.",NONE
Прыжки через барьеры,FULL_BODY,NONE,PLYOMETRIC,"Прыжки через невысокие барьеры или скамьи.",NONE
Броски медбола,FULL_BODY,NONE,PLYOMETRIC,"Броски медицинского мяча в стену или партнеру.",MEDICINE_BALL
Скалолазание (альпинист),ABS,NONE,CARDIO,"В упоре лежа, поочередно подтягивайте колени к груди в быстром темпе.",NONE
Подъемы по канату,FULL_BODY,NONE,STRENGTH,"Подъем по вертикальному канату с использованием ног и рук.",NONE
Вис на перекладине,FULL_BODY,NONE,MOBILITY,"Простой вис на перекладине для растяжки позвоночника и укрепления хвата.",PULL_UP_BAR
Раскатывания на ролике для пресса,ABS,NONE,STRENGTH,"Стоя на коленях, катайте ролик для пресса вперед и возвращайтесь.",NONE
Боковые подъемы корпуса,ABS,NONE,STRENGTH,"Лежа на боку, поднимайте корпус, напрягая косые мышцы.",NONE
Вращения с палкой,SHOULDERS,NONE,MOBILITY,"Вращения плечами с гимнастической палкой для улучшения мобильности.",NONE
Приседания у стены,QUADS,GLUTES,STRENGTH,"Приседания с опорой спиной о стену (стенка) для статической нагрузки.",NONE
Растяжка подколенных сухожилий сидя,HAMSTRINGS,NONE,STRETCHING,"Сидя на полу, наклонитесь к прямым ногам, стараясь дотянуться до стоп.",NONE
Повороты корпуса сидя,ABS,NONE,STRETCHING,"Сидя на полу с прямыми ногами, поворачивайте корпус в стороны.",NONE
Наклоны в стороны стоя,ABS,NONE,STRETCHING,"Стоя, наклоняйтесь в стороны, вытягивая руку над головой.",NONE
Растяжка четырехглавой мышцы лежа,QUADS,NONE,STRETCHING,"Лежа на боку, подтягивайте пятку к ягодице, растягивая переднюю поверхность бедра.",NONE
Круги руками,SHOULDERS,NONE,MOBILITY,"Круговые движения руками вперед и назад для разминки плечевых суставов.",NONE
Наклоны головы,NECK,NONE,STRETCHING,"Медленные наклоны головы вперед, назад и в стороны для растяжки шеи.",NONE
Растяжка грудных с партнером,CHEST,NONE,STRETCHING,"Стоя спиной к партнеру, поднимите руки, партнер тянет ваши руки назад.",NONE
Растяжка трицепса с полотенцем,TRICEPS,NONE,STRETCHING,"Заведите полотенце за спину, одной рукой тяните вверх, другой вниз.",NONE
Поза кошки-коровы,BACK,NONE,MOBILITY,"Стоя на четвереньках, поочередно прогибайте и выгибайте спину.",NONE
Растяжка ягодичных мышц сидя,GLUTES,NONE,STRETCHING,"Сидя на полу, скрестите ноги, наклонитесь вперед.",NONE
Растяжка приводящих мышц,ADDUCTORS,NONE,STRETCHING,"Сидя на полу, разведите ноги как можно шире, наклонитесь вперед.",NONE
Планка с подъемом руки,ABS,NONE,STRENGTH,"В планке на прямых руках, поочередно поднимайте руку вперед.",NONE
Планка с подъемом ноги,ABS,NONE,STRENGTH,"В планке на прямых руках, поочередно поднимайте ногу вверх.",NONE
Боковая планка с подъемом ноги,ABS,NONE,STRENGTH,"В боковой планке, поднимайте верхнюю ногу.",NONE
Планка с касанием плеча,ABS,NONE,STRENGTH,"В планке на прямых руках, поореденно касайтесь противоположного плеча.",NONE
Отжимания с мячом,CHEST,TRICEPS,STRENGTH,"Отжимания с ногами или руками на фитболе для нестабильной опоры.",STABILITY_BALL
Приседания с мячом у стены,QUADS,GLUTES,STRENGTH,"Приседания с фитболом между спиной и стеной.",STABILITY_BALL
Гиперэкстензия на фитболе,BACK,GLUTES,STRENGTH,"Лежа животом на фитболе, поднимайте корпус, разгибая спину.",STABILITY_BALL
Скручивания на фитболе,ABS,NONE,STRENGTH,"Лежа спиной на фитболе, выполняйте скручивания.",STABILITY_BALL
Мостик на фитболе,GLUTES,HAMSTRINGS,STRENGTH,"Лежа на спине, положите ноги на фитбол, поднимайте таз.",STABILITY_BALL
Отжимания в TRX,CHEST,TRICEPS,STRENGTH,"Отжимания в петлях TRX с регулируемым наклоном.",TRX
Тяга в TRX,BACK,BICEPS,STRENGTH,"Тяга собственного веса в петлях TRX.",TRX
Приседания в TRX,QUADS,GLUTES,STRENGTH,"Приседания с поддержкой в петлях TRX.",TRX
Ягодичный мостик в TRX,GLUTES,HAMSTRINGS,STRENGTH,"Мостик с ногами в петлях TRX.",TRX
Планка в TRX,ABS,NONE,STRENGTH,"Планка с ногами в петлях TRX для увеличения нагрузки.",TRX
